"PT_NUMBER","PLANT","SRC_UNIT","NUCLIDE","ACTIVITY","ACT_UNITS","Max0Avg1Sum2","NUCTYPEIMPTYPE","SOURCE","STARTDATE","ENDDATE","DURATION_MIN","FLOW_RATE","FLOW_UNITS","REL_VOL","REL_UNITS","RELEASE_SOURCE","DISCHARGE_POINT","REL_MODE_OR_DIL","IS_MDA","BATCHORCONT","ALLOCATION_PERCENT"
2016218,"Byron","Unit 1","C-14","2.49E-09","uCi/cc","NA","","",5/23/2016 1:24:00,5/30/2016 1:30:00,10086.00,"1.20E+05","cfm","1.21E+09","cf","Unit 1 Stack","Unit 1 Stack","ground","","C",100
2016218,"Byron","Unit 1","H-3","5.83E-09","uCi/cc","NA","","",5/23/2016 1:24:00,5/30/2016 1:30:00,10086.00,"1.20E+05","cfm","1.21E+09","cf","Unit 1 Stack","Unit 1 Stack","ground","","C",100
2016219,"Byron","Unit 2","C-14","2.15E-09","uCi/cc","NA","","",5/23/2016 1:26:00,5/30/2016 1:38:00,10092.00,"1.39E+05","cfm","1.40E+09","cf","Unit 2 Stack","Unit 2 Stack","ground","","C",100
2016219,"Byron","Unit 2","H-3","7.44E-09","uCi/cc","NA","","",5/23/2016 1:26:00,5/30/2016 1:38:00,10092.00,"1.39E+05","cfm","1.40E+09","cf","Unit 2 Stack","Unit 2 Stack","ground","","C",100
2016220,"Byron","Unit 1","H-3","4.98E-07","uCi/cc","NA","","",6/6/2016 22:03:00,6/6/2016 23:16:00,73.00,"1.54E+03","cfm","1.12E+05","cf","Unit 1 Containment Purge","Unit 1 Containment Purge","ground","","B",100
2016221,"Byron","Unit 2","H-3","7.61E-08","uCi/cc","NA","","",6/10/2016 17:44:00,6/10/2016 18:43:00,59.00,"1.57E+03","cfm","9.29E+04","cf","Unit 2 Containment Purge","Unit 2 Containment Purge","ground","","B",100
2016222,"Byron","Unit 1","AR-41","5.55E-07","uCi/cc","NA","","",6/8/2016 22:40:00,6/9/2016 0:01:00,81.00,"1.35E+03","cfm","1.09E+05","cf","Unit 1 Containment Purge","Unit 1 Containment Purge","ground","","B",100
2016222,"Byron","Unit 1","H-3","5.98E-07","uCi/cc","NA","","",6/8/2016 22:40:00,6/9/2016 0:01:00,81.00,"1.35E+03","cfm","1.09E+05","cf","Unit 1 Containment Purge","Unit 1 Containment Purge","ground","","B",100
2016223,"Byron","Unit 1","C-14","2.47E-09","uCi/cc","NA","","",5/30/2016 1:31:00,6/6/2016 1:08:00,10057.00,"1.21E+05","cfm","1.22E+09","cf","Unit 1 Stack","Unit 1 Stack","ground","","C",100
2016223,"Byron","Unit 1","H-3","5.59E-09","uCi/cc","NA","","",5/30/2016 1:31:00,6/6/2016 1:08:00,10057.00,"1.21E+05","cfm","1.22E+09","cf","Unit 1 Stack","Unit 1 Stack","ground","","C",100
2016224,"Byron","Unit 2","C-14","2.07E-09","uCi/cc","NA","","",5/30/2016 1:39:00,6/6/2016 1:13:00,10054.00,"1.44E+05","cfm","1.45E+09","cf","Unit 2 Stack","Unit 2 Stack","ground","","C",100
2016224,"Byron","Unit 2","H-3","7.50E-09","uCi/cc","NA","","",5/30/2016 1:39:00,6/6/2016 1:13:00,10054.00,"1.44E+05","cfm","1.45E+09","cf","Unit 2 Stack","Unit 2 Stack","ground","","C",100
2016225,"Byron","Unit 1","XE-133","1.12E+04","uCi/cc","NA","","",5/3/2016 12:14:00,5/3/2016 12:23:00,9.00,"3.92E-06","cfm","3.53E-05","cf","Unit 1 Stack","Unit 1 Stack","ground","","C",100
2016226,"Byron","Unit 2","XE-133","1.12E+04","uCi/cc","NA","","",5/3/2016 12:14:00,5/3/2016 12:23:00,9.00,"3.92E-06","cfm","3.53E-05","cf","Unit 2 Stack","Unit 2 Stack","ground","","C",100
2016227,"Byron","Unit 1","AR-41","5.30E-07","uCi/cc","NA","","",6/16/2016 14:28:00,6/16/2016 15:32:00,64.00,"1.56E+03","cfm","1.00E+05","cf","Unit 1 Containment Purge","Unit 1 Containment Purge","ground","","B",100
2016227,"Byron","Unit 1","H-3","7.23E-07","uCi/cc","NA","","",6/16/2016 14:28:00,6/16/2016 15:32:00,64.00,"1.56E+03","cfm","1.00E+05","cf","Unit 1 Containment Purge","Unit 1 Containment Purge","ground","","B",100
2016228,"Byron","Unit 1","AR-41","5.30E-07","uCi/cc","NA","","",6/10/2016 17:40:00,6/10/2016 18:51:00,71.00,"1.51E+03","cfm","1.07E+05","cf","Unit 1 Containment Purge","Unit 1 Containment Purge","ground","","B",100
2016228,"Byron","Unit 1","H-3","7.23E-07","uCi/cc","NA","","",6/10/2016 17:40:00,6/10/2016 18:51:00,71.00,"1.51E+03","cfm","1.07E+05","cf","Unit 1 Containment Purge","Unit 1 Containment Purge","ground","","B",100
2016229,"Byron","Unit 2","AR-41","6.14E-07","uCi/cc","NA","","",6/20/2016 11:02:00,6/20/2016 11:48:00,46.00,"1.48E+03","cfm","6.81E+04","cf","Unit 2 Containment Purge","Unit 2 Containment Purge","ground","","B",100
2016229,"Byron","Unit 2","H-3","1.94E-07","uCi/cc","NA","","",6/20/2016 11:02:00,6/20/2016 11:48:00,46.00,"1.48E+03","cfm","6.81E+04","cf","Unit 2 Containment Purge","Unit 2 Containment Purge","ground","","B",100
2016230,"Byron","Unit 2","AR-41","6.14E-07","uCi/cc","NA","","",6/18/2016 16:56:00,6/18/2016 17:53:00,57.00,"1.60E+03","cfm","9.12E+04","cf","Unit 2 Containment Purge","Unit 2 Containment Purge","ground","","B",100
2016230,"Byron","Unit 2","H-3","1.94E-07","uCi/cc","NA","","",6/18/2016 16:56:00,6/18/2016 17:53:00,57.00,"1.60E+03","cfm","9.12E+04","cf","Unit 2 Containment Purge","Unit 2 Containment Purge","ground","","B",100
2016231,"Byron","Unit 1","H-3","7.44E-07","uCi/cc","NA","","",6/13/2016 4:49:00,6/13/2016 6:08:00,79.00,"1.51E+03","cfm","1.19E+05","cf","Unit 1 Containment Purge","Unit 1 Containment Purge","ground","","B",100
2016232,"Byron","Unit 2","AR-41","8.17E-07","uCi/cc","NA","","",6/23/2016 7:02:00,6/23/2016 8:03:00,61.00,"1.58E+03","cfm","9.66E+04","cf","Unit 2 Containment Purge","Unit 2 Containment Purge","ground","","B",100
2016232,"Byron","Unit 2","H-3","2.10E-07","uCi/cc","NA","","",6/23/2016 7:02:00,6/23/2016 8:03:00,61.00,"1.58E+03","cfm","9.66E+04","cf","Unit 2 Containment Purge","Unit 2 Containment Purge","ground","","B",100
2016233,"Byron","Unit 1","H-3","6.23E-07","uCi/cc","NA","","",6/14/2016 16:44:00,6/14/2016 17:45:00,61.00,"1.63E+03","cfm","9.97E+04","cf","Unit 1 Containment Purge","Unit 1 Containment Purge","ground","","B",100
2016234,"Byron","Unit 2","H-3","1.66E-07","uCi/cc","NA","","",6/14/2016 4:20:00,6/14/2016 5:28:00,68.00,"1.39E+03","cfm","9.48E+04","cf","Unit 2 Containment Purge","Unit 2 Containment Purge","ground","","B",100
2016236,"Byron","Unit 1","H-3","6.58E-07","uCi/cc","NA","","",6/18/2016 16:58:00,6/18/2016 17:53:00,55.00,"1.49E+03","cfm","8.21E+04","cf","Unit 1 Containment Purge","Unit 1 Containment Purge","ground","","B",100
2016237,"Byron","Unit 1","H-3","6.58E-07","uCi/cc","NA","","",6/20/2016 3:03:00,6/20/2016 4:08:00,65.00,"1.54E+03","cfm","1.00E+05","cf","Unit 1 Containment Purge","Unit 1 Containment Purge","ground","","B",100
2016238,"Byron","Unit 1","H-3","6.58E-07","uCi/cc","NA","","",6/21/2016 20:36:00,6/21/2016 21:47:00,71.00,"1.53E+03","cfm","1.09E+05","cf","Unit 1 Containment Purge","Unit 1 Containment Purge","ground","","B",100
2016239,"Byron","Unit 1","H-3","5.86E-07","uCi/cc","NA","","",6/25/2016 17:00:00,6/25/2016 18:14:00,74.00,"1.54E+03","cfm","1.14E+05","cf","Unit 1 Containment Purge","Unit 1 Containment Purge","ground","","B",100
2016240,"Byron","Unit 1","H-3","5.86E-07","uCi/cc","NA","","",6/23/2016 7:03:00,6/23/2016 8:21:00,78.00,"1.33E+03","cfm","1.04E+05","cf","Unit 1 Containment Purge","Unit 1 Containment Purge","ground","","B",100
2016241,"Byron","Unit 2","H-3","2.12E-07","uCi/cc","NA","","",6/27/2016 4:44:00,6/27/2016 5:48:00,64.00,"1.48E+03","cfm","9.49E+04","cf","Unit 2 Containment Purge","Unit 2 Containment Purge","ground","","B",100
2016242,"Byron","Unit 1","C-14","2.85E-09","uCi/cc","NA","","",6/6/2016 1:08:00,6/13/2016 0:41:00,10053.00,"1.05E+05","cfm","1.06E+09","cf","Unit 1 Stack","Unit 1 Stack","ground","","C",100
2016242,"Byron","Unit 1","H-3","5.41E-09","uCi/cc","NA","","",6/6/2016 1:08:00,6/13/2016 0:41:00,10053.00,"1.05E+05","cfm","1.06E+09","cf","Unit 1 Stack","Unit 1 Stack","ground","","C",100
